块编号	韩文原文	中文译文	备注
028.0	생각이 대나무처럼 뻣뻣하니 기술들도 경직되어 있다고!!	脑子跟竹子一样死板，招式也僵得很!!	
028.1	찰칵	咔嚓	
030.0	이봐~ 이봐~ 단.순. 무.식.	喂~ 喂~↵头.脑.简.单.	
030.1	방금 건 경고고, 다음엔 벤다.	刚才是警告，↵下次就砍了。	
031.0	훗	哼	
031.1	만년은 • 이르다!!!!	还差↵一万年!!!!	
034.0	맥이.. 저렇게 쉽게 밀리다니...	脉.. 居然这么↵轻易就被压制...	
034.1	저것이 99단!!	那就是99团!!	
034.2	핫	哈	
035.0	그냥 지금.. 자웅을 가리자.	干脆现在.. 分个高下吧。	
036.0	X		保留原文
036.1	머리가 나쁘면 용맹 하지~	脑子不好使↵就靠勇猛咯~	
036.2	니 이야기냐? '지력:14.	说你自己吗？↵『智力:14』	
037.0	뭣?!? 후우우우... 못 믿겠지만 사후에 나의 지력은 무려 99..	什么?!? 呼——...↵你可能不信，但我↵死后的智力足足有99..	
037.1	못 믿겠군	不信。	
037.2	좋았어~! 알려주지!! 너! 령의 힘인'형을 갖추는 사인' 에 대해 생각해 본적 있어??		保留原文
037.3	76200		保留原文
037.4	좋았어~! 알려주지!!	好~!↵那我告诉你!!	手工拆分/补录
037.5	너! 령의 힘인 '형'을 갖추는 '사인'에 대해 생각해 본 적 있어??	你! 想过灵的↵力量『形』是由↵什么样的『死因』↵决定的吗??	手工拆分/补录
038.0	꼬마, 넌!! 없지	小鬼，你!!↵没有吧	
038.1	??		保留原文
038.2	해야 되냐? 당연 하지!!		保留原文
038.3	해야 되냐?	非说↵不可吗？	手工拆分/补录
038.4	당연하지!!	那↵当然!!	手工拆分/补录
039.0	누구는 칼 맞아 죽었다고 베는 능력이 생기고, 누구는 좀 맞아 죽었다고 발사 능력이 생기잖아!!	有人被刀砍死↵就有了斩击能力，↵有人被枪打死↵就有了射击能力，↵对吧!!	
040.0	이상하지 않아..?	不觉得奇怪吗..？	
040.1	사실 모두의 최종 사인은, 무엇 무엇에 의한 '심정지'인데 말야...	其实所有人的最终死因，↵都是「因某某导致的↵心脏停搏」啊...	
040.2	어..? 듣고 보니 그러네??	嗯..？ 这么一说↵还真是??	
040.3	그게 뭐 어쨌단 건데.	那又怎样。	
041.0	난... 이곳에서 오랜 시간 수많은 령들을 보고 깨달았다.	我... 在这里看了↵无数灵这么多年，↵才明白过来。	
041.1	우리의 능력이 되는 '형;'은,	成为我们能力的『形』，	
042.0	자신의 죽음을 어떻게 받아들이냐에 따라 완전히 달라진 다는 것을!	取决于你如何看待自己的死，会完全不同!	
042.1	심지어 똑같이 독살로 죽었는데,	甚至同样是被毒死，	
043.0	한 놈은 독을 무기로, 또 한 놈은 해독능력을 갖는 경우도 있었지..	一个把毒当武器，另一个却得到解毒能力..	
043.1	...상상력...	...想象力...	
044.0	한 그렇지!? 머리는 너가 저 백정 놈 보다 훨씬 낫구나!		保留原文
044.1	그래서 뭐, 어쩌 라고?	所以呢，↵你想说↵什么？	
044.2	그렇지!!	没错!!	手工拆分/补录
044.3	머리는 너가 저 백정 놈보다 훨씬 낫구나!	你脑子↵比那屠夫↵强多了!	手工拆分/补录
045.0	생전에 어떤 식으로 싸워 왔는진 모르지만,	不知道你生前是怎么打的，	
045.1	뻣뻣한 대나무는 결국엔 부러진다.	僵硬的竹子终究会折断。	
045.2	버드나무처럼 유연하게 사고하며 싸우란 말씀!!	要像柳树一样柔韧地思考、柔韧地打!!	
046.0	슥	唰	
046.1	생전 기억 따윈 없다.	我没有生前的记忆。	
046.2	내가 대륙 최강이었단 것 밖엔.	只知道我曾是大陆最强。	
047.0	맥도.. 광남이처럼 기억을 잃었었구나	脉也.. 和光南一样失去了记忆啊	
047.1	흐음~ 그 기억도 잘못된 거	唔~ 那记忆恐怕也是错的	
047.2	바보! ㅋ	笨蛋! 呵	手工拆分/补录
048.0	바로 확인시켜 주지!	马上让你见识见识!	
048.1	철컥	咔嚓	
048.2	히히, 형해		保留原文
048.3	번 짠		保留原文
048.4	티켓으로 고고!!	用票冲啊!!	
049.0	쫄았냐?	怂了？	
049.1	니 이야기냐? ㅋ	说你自己吗？ 呵	
049.2	그, 그만;;	别、别说了;;	
050.0	뭐, 뭐야 여긴..	这、这是哪儿..	
051.0	이씨... 뭐가 어떻게 된 거야...	可恶... 到底怎么回事...	
051.1	1%6 이런~ 재수 없게 초령이 걸렸네!	哎呀~ 真倒霉，↵撞上初灵了!	
051.2	저기요, 여기가 어디예요?	请问，这里是哪里？	
051.3	찰칵	咔嚓	
052.0	치에-	切-	
053.0	조심해 1!! 인도 사신 이다!!	小心!!↵是引导死神!!	
054.0	각:!!!		保留原文
054.1	나도 막을 수 있었어!	我也挡得住!	
055.0	이 자식....	这家伙....	
055.1	어디냐.....	在哪儿.....	
056.0	저쪽!	那边!	
057.0	젠장.. 너무 멀어	可恶.. 太远了	
057.1	찰칵 왈칵	咔嚓	
057.2	2		保留原文
057.3	스나이퍼 타입인가..	是狙击型吗..	
059.0	「병기소환 장팔사모」	「兵器召唤↵丈八蛇矛」	
066.0	뭐야..	什么..	
066.1	...어째서	...为什么	
066.2	털썩- 기기		保留原文
067.0	이거 야단났군.. '청독탄'이야.	这下麻烦了.. 是『青毒弹』。	
067.1	한 시간 안에 빼내지 않으면 영멸된다..	一小时内不取出来就会永灭..	
067.2	바보 같은 게.. 내가 피한 탄에 맞은 건가....	这个蠢货.. 是替我挨了我躲开的那一发吗....	
068.0	비켜. 내가 빼.	让开。↵我来取。	
068.1	척..		保留原文
068.2	안돼.	不行。	
068.3	잘못 건드리면 바로 영멸 이야.	弄不好当场↵就永灭。	
068.4	그럼 어쩌라고!	那你说怎么办!	
069.0	니들은 정말 운이 좋네..	你们运气真好..	
069.1	마침 근처에 치료 도구가 있는 곳이 있어.	正好附近有个地方有治疗器具。	
069.2	거기가 어딘데?	那是哪儿？	
070.0	yVvVS		保留原文
071.0	꾸국		保留原文
071.1	꾸국		保留原文
071.2	푸우욱		保留原文
073.0	휴우~ 됐다! 탄은 완벽하게 제거했으니 이제 안심해.	呼~ 好了! 弹已经完全↵取出来了，放心吧。	
073.1	한숨 푹 자고 일어나면 괜찮을 거야.	好好睡一觉↵起来就没事了。	
073.2	흥, 딱히 뭐 특별한 것도 없구만 유난 떨기는.	哼，也没什么特别的嘛，还大惊小怪。	
074.0	블렉 법 별력		保留原文
074.1	흥! 고맙단 말을 참 어렵게도 한다!	哼! 说句谢谢就这么难!	
074.2	+		保留原文
075.0	한나!		保留原文
075.1	+		保留原文
075.2	감사는 나중에 저녀석 한테나 받아라.	要谢，以后去谢那家伙吧。	
076.0	갈		保留原文
076.1	꿀꺽 꿀꺽 꿀꺽 꿀꺽		保留原文
076.2	호오~ 그래도 술은 좀 하네?	哦~ 酒量还行嘛？	
076.3	술인지 물인지 모르겠 는데?	分不清是酒↵还是水。	
077.0	핫핫!! 허세는 그만 부리고,	哈哈!! 别逞强了，	
077.1	저 녀석 깨어날 때 까지 너도 눈 좀 붙여.	在那家伙醒之前↵你也眯一会儿。	
077.2	여긴, 사신 레이더 에도 안 걸리는 비밀 장소 니깐.	这里是连死神雷达↵都探测不到的↵秘密地点。	
077.3	...넌.. 진짜.. 아는 게 많네...	...你.. 知道的.. 还真多...	
078.0	지력.... 14.... 주제에....	就凭.... 智力.... 14....	
078.1	털		保留原文
078.2	썩		保留原文
078.3	..어?	..嗯？	手工拆分/补录
079.0	피용		保留原文
079.1	0		保留原文
079.2	평롱		保留原文
079.3	피롱		保留原文
080.0	봉선 데스티켓 99장	凤仙↵死亡票↵99张	
080.1	대신...	不过...	
080.2	사인 배신		保留原文
080.3	굴...		保留原文
080.4	이곳에서 한번 잠들면,	在这里一旦睡着，	
081.0	혼자서는 절대 깨어나지 못해...	就绝对无法独自醒来...	
081.1	흑관산		保留原文
081.2	만화는입구가아닌탈출구입니다 따라하지마시고해소하세요 편집 도움 : 잡상인 @ : SVVVK.exe	漫画是出口而非入口 请勿模仿请借此宣泄 编辑协助:杂商人 @: SVVVK.exe	
