块编号	韩文原文	中文译文	备注
078.4	NB		保留原文
078.5	꾸깃	咯吱	
079.0	파초산	芭蕉扇	
079.1	역시 내가 가져야 겠어!!!	果然还是得归我!!!	
079.2	물욕 +100	物欲 +100	
079.3	엑;	呃;	
079.4	나줘	给我	
079.5	나! 나!	我! 我!	
079.6	아.. 도련님 제발 쫌..;;	啊……少爷您就消停点吧……;;	
079.7	폴짝	蹦	手工拆分/补录
080.0	전		保留原文
080.1	보좌관이 뭐하다 이제서 나타난 거지..?	辅佐官这时候才冒出来，之前干嘛去了……？	
080.2	빠직 빠진	咯嘣 咯嘣	
080.3	주인공병!!	主角病!!	
080.4	뚫어 버린다. 파주주 !!!!	我要捅穿你，帕祖祖!!!!	
080.5	빠직	咯嘣	
081.0	에이~ 좀 봐줘라 다들.	哎呀~ 大家都让着点嘛。	
081.1	가뜩이나 머릿수도 모자란데.	本来人手就不够。	
081.2	®		保留原文
081.3	와	哇	
081.4	와	哇	
081.5	와	哇	
081.6	와	哇	
081.7	와	哇	
081.8	와	哇	
081.9	와	哇	
082.0	+ 접착력 강화 +	+ 黏着力强化 +	
083.0	외 변형 「 아킬레스힐」	外变形↵「阿喀琉斯之踵」	
088.0	굴	咕噜	
088.1	데굴	咕噜	
088.2	데굴	咕噜	
088.3	66B !!!		保留原文
089.0	풉- 그러게 왜 꼴랑 요괴 물건 하나 믿고선 까불어?	噗- 所以说，就凭一件妖怪法宝也敢嚣张？	
089.1	꼴까닥 입니다다 다다닥	咕咚 是是是 是是是	
093.0	아..	啊……	
093.1	[하프_워핸드]	【半·战争手】	
093.2	제가 가진게 꼴랑 요괴 물건 하나가 아니라서...	因为我手里可不止一件妖怪法宝……	
094.0	SAAAK		保留原文
